accession,name
AQHN01000001.1,Rhizobium_freirei_PRF_81
CP003358.1,Mesorhizobium_australicum_WSM2073
LYTO01000001.1,Mesorhizobium_sp._AA22
AXAU01000001.1,Bradyrhizobium_elkanii_WSM1741
AZNX01000001.1,Ensifer_sp._TW10
AJQT01000001.1,Ensifer_sojae_CCBAU_05684
AXBC01000011.1,Bradyrhizobium_genosp._SA-4_str._CB756
AZUW01000001.1,Ensifer_sp._WSM1721
AJQE01000001.1,Bradyrhizobium_sp._CCBAU_43298
AUFB01000001.1,Rhizobium_leucaenae_USDA_9039
AXAT01000001.1,Bradyrhizobium_japonicum_USDA_135
LYTK01000001.1,Mesorhizobium_loti_NZP2042
AXAL01000001.1,Mesorhizobium_loti_CJ3sym
CP002279.1,Mesorhizobium_opportunistum_WSM2075
CP000874.1,Sinorhizobium_fredii_NGR234
AJQU01000001.1,Sinorhizobium_sp._CCBAU_0563
FMAI01000001.1,Bradyrhizobium_sp._ERR11
AJQN01000001.1,Sinorhizobium_fredii_CCBAU_25509
CAAF010000001.1,Mesorhizobium_sp._STM_4661
AYVY01000001.1,Mesorhizobium_sp._LSHC420B00
CP004015.1,Rhizobium_tropici_CIAT_899
AP003017.1,Mesorhizobium_loti_MAFF303099
LFIP02000001.1,Bradyrhizobium_embrapense_SEMIA_6208
FMAF01000001.1,Rhizobium_lusitanum_P1-7
ATYC01000007.1,Sinorhizobium_meliloti_WSM4191
AZUY01000001.1,Mesorhizobium_sp._WSM3626
KB893805.1,Bradyrhizobium_japonicum_USDA_124
ATTO01000001.1,Rhizobium_favelukesii_OR191
AZUV01000001.1,Mesorhizobium_sp._WSM1293
ATTQ01000001.1,Rhizobium_mongolense_USDA_1844
KB902768.1,Bradyrhizobium_sp._WSM2793
HF536772.1,Rhizobium_mesoamericanum_STM3625
LFIO01000001.1,Rhizobium_ecuadorense_CNPSO_671
KE136308.1,Erwinia_tracheiphila_PSU-1
AQWP01000001.1,Sinorhizobium_meliloti_4H41
KB905373.1,Rhizobium_leguminosarum_bv._phaseoli_4292
AXBA01000001.1,Azorhizobium_doebereinerae_UFLA1-100
AXAY01000001.1,Bradyrhizobium_sp._WSM3983
LJYE01000001.1,Bradyrhizobium_pachyrhizi_BR3262
AUGA01000001.1,Bradyrhizobium_sp._th.b2
KB890498.1,Bradyrhizobium_sp._WSM4349
BA000040.2,Bradyrhizobium_diazoefficiens_USDA_110
ATYO01000001.1,Mesorhizobium_sp._WSM3224
AXAB01000001.1,Bradyrhizobium_sp._WSM2254
CP007641.1,Rhizobium_etli_bv._phaseoli_str._IE4803
LJSR01000001.1,Rhizobium_acidisoli_FH23
AZYE01000987.1,Microvirga_lupini_Lut6
AYWZ01000001.1,Mesorhizobium_sp._L2C066B000
AGSN01000001.1,Mesorhizobium_amorphae_CCNWGS0123
JFGO01000001.1,Sinorhizobium_americanum_CCGM7
AHAM01000001.1,Mesorhizobium_alhagi_CCNWXJ12-2
FMAJ01000001.1,Rhizobium_sp._HBR26
KI911783.1,Bradyrhizobium_sp._WSM1417
CP003563.1,Sinorhizobium_fredii_USDA_257
AUFA01000001.1,Bradyrhizobium_sp._Cp5.3
AJQL01000001.1,Bradyrhizobium_yuanmingense_CCBAU_35157
AXAE01000005.1,Mesorhizobium_erdmanii_USDA_3471
CP000133.1,Rhizobium_etli_CFN_42
AEYF01000001.1,Rhizobium_sp._CCGE_510
LFIQ01000001.1,Bradyrhizobium_pachyrhizi_PAC_48
AZUX01000001.1,Mesorhizobium_sp._WSM2561
ATTN01000001.1,Rhizobium_leguminosarum_bv._phaseoli_FA23
ATYB01000007.1,Sinorhizobium_arboris_LMG_14919
AEYE02000001.1,Rhizobium_grahamii_CCGE_502
